,Fair,GTX 650 Ti$125,X4 760K$90,MSI FM2-A85XA-G43$80,4GB$43,$521
,Good,HD 7850 1GB$170,X4 760K$90,MSI FM2-A85XA-G43$80,4GB$43,$566
,Very good,HD 7850 1GB$170,i3 4330$125,ASRock Z87 PRO3$95,4GB$43,$626
,Great,GTX 660$190,FX 6300$127,ASUS M5A97 R2.0$102,8GB$70,$687
,Excellent,GTX 760$250,i5 4670$215,ASRock Z87 Extreme4$144,8GB$70,$1025
,Exceptional,GTX 760 x2$500,i5 4670K$220,MSI Z87-GD65 Gaming$188,8GB$70,$1528
,Enthusiast,GTX 770 x2$640,i5 4670K$220,GIGABYTE Z87X-UD5H$190,8GB$70,$1705
,Extremist,GTX 780 x2$1020,i5 4670K$225,ASUS Z87-DELUXE$270,16GB$145,$2494
,,,,,,
20140625,Tier,Graphics,CPU,Motherboard,RAM,Total
,Minimum,HD 6570$62,G1620$43,ASRock B75M-DGS$55,4GB$43,$351
,Entry,R7 250$80,G2020$62,ASRock B75M-DGS$55,4GB$43,$399
,Fair,GTX 650 Ti$125,X4 760K$90,MSI FM2-A85XA-G43$80,4GB$43,$521
,Good,HD 7850 1GB$170,X4 760K$90,MSI FM2-A85XA-G43$80,4GB$43,$566
,Very good,HD 7850 1GB$170,i3 4330$125,ASRock Z87 PRO3$95,4GB$43,$626
,Great,GTX 660$190,FX 6300$127,ASUS M5A97 R2.0$102,8GB$70,$687
,Excellent,GTX 760$250,i5 4670$215,ASRock Z87 Extreme4$144,8GB$70,$1025
,Exceptional,GTX 760 x2$500,i5 4670K$220,MSI Z87-GD65 Gaming$188,8GB$70,$1528
,Enthusiast,GTX 770 x2$640,i5 4670K$220,GIGABYTE Z87X-UD5H$190,8GB$70,$1705
,Extremist,GTX 780 x2$1020,i5 4670K$225,ASUS Z87-DELUXE$270,16GB$145,$2494
,,,,,,
20141001,Tier,Graphics,CPU,Motherboard,RAM,Total
,Minimum,R7 240$66,G3220$57,MSI H81M-P33$45,4GB$34,$336
,Entry,R7 250X$90,G3220$57,GIGABYTE GA-H81-D3$65,4GB$34,$386
,Fair,GTX 750 Ti$140,X4 760K$78,GIGABYTE GA-F2A88XM-D3H$70,4GB$34,$499
,Good,R7 265$150,X4 760K$78,MSI A88X-G43$83,4GB$34,$522
,Very good,R9 270$157,FX 6300$94,ASUS M5A97 R2.0$90,4GB$34,$565
,Great,R9 280$190,i3 4150$118,ASRock H97 Pro4$84,8GB$64,$646
,Excellent,R9 290$250,i5 4430$180,MSI Z97-G45 Gaming$143,8GB$64,$965
,Exceptional,R9 290 x2$500,i5 4690K$235,MSI Z97-GD65$150,8GB$64,$1411
,Enthusiast,R9 290X x2$660,i5 4690K$235,ASUS Z97-PRO$163,8GB$64,$1670
,Extremist,R9 290X x2$660,i7 5820K$390,MSI X99S SLI Plus$210,16GB DDR4$210,$2266
,,,,,,
20141230,Tier,Graphics,CPU,Motherboard,RAM,Total
,Minimum,R7 240$66,G3220$57,MSI H81M-P33$45,4GB$34,$336
,Entry,R7 250X$90,G3220$57,GIGABYTE GA-H81-D3$65,4GB$34,$386
,Fair,GTX 750 Ti$140,X4 760K$78,GIGABYTE GA-F2A88XM-D3H$70,4GB$34,$499
,Good,R7 265$150,X4 760K$78,MSI A88X-G43$83,4GB$34,$522
,Very good,R9 270$157,FX 6300$94,ASUS M5A97 R2.0$90,4GB$34,$565
,Great,R9 280$190,i3 4150$118,ASRock H97 Pro4$84,8GB$64,$646
,Excellent,R9 290$250,i5 4430$180,MSI Z97-G45 Gaming$143,8GB$64,$965
,Exceptional,R9 290 x2$500,i5 4690K$235,MSI Z97-GD65$150,8GB$64,$1411
,Enthusiast,R9 290X x2$660,i5 4690K$235,ASUS Z97-PRO$163,8GB$64,$1670
,Extremist,R9 290X x2$660,i7 5820K$390,MSI X99S SLI Plus$210,16GB DDR4$210,$2266
,,,,,,
20150401,Tier,Graphics,CPU,Motherboard,RAM,Total
,Minimum,R7 240$70,G3220$57,MSI H81M-P33$45,4GB$34,$348
,Entry,R7 250X$90,G3220$57,GIGABYTE GA-H81-D3$65,4GB$34,$388
,Fair,GTX 750 Ti$140,X4 760K$78,GIGABYTE GA-F2A88XM-D3H$70,4GB$34,$498
,Good,R7 265$150,X4 760K$78,GIGABYTE GA-F2A88X-D3H$80,4GB$34,$518
