Videocard Name,Passmark G3D Mark
RTX A2000 Laptop GPU,10003
Intel Arc A750,9867
GRID P40-2B,9842
GeForce RTX 2060 with Max-Q Design,9804
GeForce GTX 1060 3GB,9763
Radeon R9 Fury + Fury X,9741
GeForce GTX 970,9646
Radeon R9 Fury,9605
RTX A1000 Laptop GPU,9581
Radeon RX 6500 XT,9517
GeForce GTX 780 Ti,9502
Radeon RX 590,9468
GeForce RTX 3050 Laptop GPU,9437
Radeon R9 390X,9432
Intel Arc Pro A60,9409
Quadro M5000,9388
Quadro P2200,9366
Radeon Pro 5600M,9282
Radeon RX 6550M,9192
Quadro P3200 with Max-Q Design,9188
Radeon RX 5500 XT,9173
Radeon Pro W5500,9145
Quadro P3200,9110
Quadro P4000 with Max-Q Design,9082
GeForce GTX 1060 5GB,9052
GeForce GTX TITAN Black,9031
GeForce GTX TITAN Z,8986
GRID P40-8Q,8967
Radeon R9 390,8960
Tesla P4,8909
Radeon RX 580,8887
Radeon RX 5500,8853
GeForce GTX 1660 Ti with Max-Q Design,8668
Radeon R9 290X,8645
Radeon RX 480,8642
Radeon R9 295X2,8637
Radeon RX 5600M,8542
Radeon RX590 GME,8508
GRID RTX6000-1B,8473
Quadro RTX 3000 with Max-Q Design,8439
Radeon R9 290X / 390X,8389
Ryzen 5 4600HS with Radeon Graphics,8370
Radeon Pro 5500 XT,8330
Radeon R9 290,8322
GeForce GTX Titan,8222
GeForce GTX 1060 (Mobile),8160
Radeon R9 290 / 390,8150
Radeon Pro Duo,8136
Quadro K6000,8059
Radeon PRO W6400,8052
Intel Arc A730M,8033
Radeon RX 470/570,8030
GeForce GTX 780,8014
Ryzen 9 6900HS,8005
Intel Arc A770M,7964
FirePro W9100,7956
Radeon Pro WX 7100,7928
Quadro M5500,7915
Radeon RX 780,7897
GeForce GTX 1060 with Max-Q Design,7885
Radeon RX 6500M,7878
GeForce GTX 1650,7876
T1200 Laptop GPU,7839
Radeon RX 580X,7798
Tesla M60,7770
Radeon Pro 580,7753
Radeon RX580 2048SP,7748
Radeon RX 580 2048SP,7729
Radeon RX 5300,7696
T1000,7685
Radeon RX 6500,7646
T1000 8GB,7630
GeForce GTX 1650 Ti,7573
Radeon Pro 580X,7540
Tesla M6,7509
Radeon RX 6400,7499
GeForce RTX 2050,7485
Ryzen 9 4900HS with Radeon Graphics,7418
Radeon Ryzen 9 6900HS,7384
GeForce GTX 980M,7352
FirePro W8100,7279
Radeon Pro 5300,7229
Tesla P100-PCIE-16GB,7225
Quadro T2000,7182
Radeon 780M,7156
T600 Laptop GPU,7087
A10-8Q,7041
RadeonT 780M,6975
GeForce GTX 1650 (Mobile),6968
RTX A500 Laptop GPU,6960
Quadro T2000 with Max-Q Design,6958
Quadro M5000M,6949
GeForce RTX 3050 4GB Laptop GPU,6936
Quadro P2000,6929
Ryzen 7 6800HS with Radeon Graphics,6867
Radeon Pro 5500M,6815
GeForce GTX 970XM FORCE,6706
Quadro T1000 with Max-Q Design,6698
Quadro M4000,6693
Quadro T1000,6623
Quadro P3000,6620
Radeon Pro WX 7130,6577
Radeon Ryzen 7 6800HS,6566
AMD Ryzen Z1 Extreme,6563
Radeon RX Vega M GH,6556
Radeon RX 6300,6544
T600,6463
GeForce GTX 1650 Ti with Max-Q Design,6396
Radeon Pro 570,6336
Ryzen 9 6900HS with Radeon Graphics,6331
P106-100,6324
GeForce GTX 1050 Ti,6312
Radeon 660M Ryzen 5 6600H,6285
GeForce MX570 A,6270
Quadro M4000M,6252
Radeon R9 380X,6229
Radeon R9 280X,6220
Tesla K80,6210
Radeon R9 380,6178
GeForce GTX 1650 with Max-Q Design,6176
Radeon 680M Ryzen 7 7735HS,6166
FirePro W9000,6138
GeForce GTX 960,6059
Quadro K5200,6023
GeForce MX570,6020
Radeon Pro 5300M,6003
GRID P100-16Q,5944
GeForce GTX 770,5928
GeForce GTX 1050 Ti (Mobile),5918
Radeon PRO W6300,5897
Intel Arc Pro A30M,5862
RadeonT 760M,5846
Radeon 760M,5828
Matrox LUMA A380P,5805
Radeon Ryzen 7 7736U,5790
Radeon Ryzen 7 PRO 6850H,5767
Ryzen 9 PRO 6950H,5758
GeForce GTX 970M,5740
Radeon PRO Ryzen 7 PRO 6850U,5699
Radeon Pro WX 5100,5604
A16,5597
GeForce GTX 690,5590
Ryzen 7 PRO 6850U,5580
Ryzen 9 5900HS with Radeon Graphics,5570
Radeon R9 280,5569
Radeon HD 7990,5565
Quadro M3000M,5552
Radeon R9 285 / 380,5549
GeForce GTX 680,5541
GRID M60-8A,5523
Intel Arc A530M,5490
Radeon RX 5500M,5461
Radeon Ryzen 7 6800HS Creator Edition,5445
GeForce GTX 760 Ti OEM,5427
Radeon Ryzen 7 7735HS,5385
GeForce GTX 1050 Ti with Max-Q Design,5372
Radeon Eng Sample: 100-000000560-40_Y,5372
GRID P40-4Q,5364
Ryzen 7 6800HS Creator Edition,5345
Radeon Ryzen 7 6800H,5343
GeForce GTX 950,5337
GeForce GTX 670,5330
Ryzen 9 6900HX with Radeon Graphics,5319
Ryzen 7 7735HS with Radeon Graphics,5306
FirePro W7100,5303
Radeon Pro Vega 20,5299
Radeon HD 7970 / R9 280X,5247
Ryzen 7 6800H,5247
Ryzen 7 6800HS,5237
Radeon Ryzen 7 7735U,5235
Quadro P2000 with Max-Q Design,5226
Intel Arc Pro A40/A50,5223
Radeon HD 8990,5214
Radeon Ryzen 7 PRO 6850HS,5212
GeForce GTX 760 Ti,5209
GRID M60-2Q,5203
