CPU Name,CPU Mark
Intel Core i7-14700HX,37808
Intel Xeon Gold 6346 @ 3.10GHz,37722
Intel Xeon Gold 5320 @ 2.20GHz,37558
Intel Xeon Gold 6238R @ 2.20GHz,37511
Intel Xeon Silver 4316 @ 2.30GHz,37264
Intel Xeon W-3175X @ 3.10GHz,37167
Intel Core i9-12900F,36944
Intel Xeon Gold 6268CL @ 2.80GHz,36878
Intel Xeon Gold 5416S,36735
ARM Neoverse-N1 80 Core 3000 MHz,36435
Intel Xeon w5-3425,36404
Intel Xeon Gold 6330N @ 2.20GHz,36360
AMD Ryzen 7 7700X,36070
Intel Xeon Gold 6248R @ 3.00GHz,35626
Apple M3 Max 14 Core,35444
Intel Xeon Gold 6326 @ 2.90GHz,35224
Intel Core i9-12900TE,35057
AMD Ryzen 7 PRO 7745,35006
Intel Xeon Gold 6242R @ 3.10GHz,34963
AMD Ryzen 9 PRO 5945,34756
Intel Core i9-12900HX,34700
Intel Core i7-12700K,34668
AMD Ryzen 7 7700,34626
Intel Core i7-12700KF,34473
AMD Ryzen 7 7800X3D,34412
AMD Ryzen 9 5900,34410
Intel Core i9-12900,34343
Intel Core i7-13700HX,34111
AMD EPYC 7601,34079
Intel Core i9-13900E,34049
Intel Xeon Platinum 8260M @ 2.30GHz,33970
Intel Xeon Gold 6338 @ 2.00GHz,33814
Intel Xeon D-2799 @ 2.40GHz,33792
Intel Xeon Gold 6230R @ 2.10GHz,33724
AMD Ryzen Threadripper PRO 3945WX,33514
Intel Xeon Gold 5220R @ 2.20GHz,33370
Intel Xeon Gold 6240R @ 2.40GHz,33353
Intel Xeon Gold 5318Y @ 2.10GHz,33283
AMD EPYC 7302,33002
AMD Ryzen 7 7745HX,32909
Intel Core i9-10980XE @ 3.00GHz,32864
Intel Xeon Gold 6278C @ 2.60GHz,32835
Intel Xeon Platinum 8168 @ 2.70GHz,32811
Intel Core i5-13600,32801
Intel Xeon Platinum 8280 @ 2.70GHz,32781
Intel Core i9-12950HX,32755
AMD Ryzen 9 3900XT,32738
AMD Ryzen 9 3900X,32668
Intel Core i7-12800HX,32638
AMD EPYC 7302P,32612
AMD Ryzen Threadripper 2990WX,32533
Intel Xeon w5-2445,32428
Intel Core Ultra 7 165H,32163
Intel Core i5-13500,32150
Intel Core i5-14500,32104
Intel Core i7-13650HX,32087
Intel Core i9-9980XE @ 3.00GHz,32040
Intel Xeon W-3265M @ 2.70GHz,32025
AMD Ryzen 7 8700G,31967
Intel Xeon Platinum 8173M @ 2.00GHz,31837
Intel Xeon Platinum 8268 @ 2.90GHz,31632
Intel Core i9-13905H,31609
AMD Ryzen 9 PRO 3900,31591
Intel Core i9-13900HK,31399
AMD EPYC 7371,31094
AMD Ryzen 9 7940H,30873
Intel Core i7-12700,30860
AMD Ryzen 9 3900,30823
Intel Xeon Platinum 8259CL @ 2.50GHz,30805
Intel Core i7-12700F,30774
Intel Core i7-12850HX,30688
Intel Xeon W-2295 @ 3.00GHz,30673
Intel Core i9-9960X @ 3.10GHz,30638
Intel Xeon Platinum 8171M @ 2.60GHz,30632
Intel Xeon E-2488,30571
AMD EPYC Embedded 7292P,30542
AMD Ryzen 9 7940HS,30521
Intel Xeon W-3245 @ 3.20GHz,30505
Intel Xeon Gold 6246R @ 3.40GHz,30468
Intel Xeon Gold 6254 @ 3.10GHz,30381
Intel Core i9-12900T,30315
Intel Core Ultra 9 185H,30304
Intel Core i9-7980XE @ 2.60GHz,30292
Intel Core i9-9990XE @ 4.00GHz,30162
Intel Xeon W-3265 @ 2.70GHz,30105
Intel Xeon Platinum 8270 @ 2.70GHz,29986
AMD Ryzen Threadripper 2970WX,29949
Intel Core i7-12800HE,29805
Intel Core i5-13600HX,29621
AMD EPYC 7282,29548
Intel Xeon Gold 6248 @ 2.50GHz,29504
Intel Core i9-13900H,29403
AMD Ryzen Threadripper 2950X,29394
Intel Xeon Platinum 8260 @ 2.40GHz,29360
Intel Xeon Silver 4314 @ 2.40GHz,29346
Intel Core i7-12700E,29289
AMD Ryzen 7 7840HS,29061
Intel Xeon Gold 6148 @ 2.40GHz,28999
Intel Xeon Gold 6210U @ 2.50GHz,28915
Intel Xeon Silver 4410T,28859
Intel Xeon W-2191B @ 2.30GHz,28803
Intel Core i9-7960X @ 2.80GHz,28781
Intel Xeon Gold 6238 @ 2.10GHz,28668
AMD Ryzen 7 7840H,28667
Intel Xeon Gold 6154 @ 3.00GHz,28632
AMD Ryzen 5 7600X,28619
Intel Xeon Gold 6253CL @ 3.10GHz,28549
Intel Core i5-13500HX,28472
Intel Xeon D-2795NT @ 2.00GHz,28463
Intel Core i9-12900H,28344
AMD Ryzen 9 PRO 7940HS,28300
AMD EPYC 7401P,28293
AMD Ryzen 7 5800X3D,28279
Intel Xeon w5-3423,28268
ARM Neoverse-N1 64 Core 0 MHz,28064
Intel Core i9-9940X @ 3.30GHz,28059
Intel Core i5-13500E,28036
Intel Core i9-12900HK,28008
Intel Xeon W-2195 @ 2.30GHz,27985
Intel Xeon Platinum 8160 @ 2.10GHz,27968
AMD Ryzen 7 5800X,27936
Intel Core i9-10940X @ 3.30GHz,27863
Intel Xeon W-2275 @ 3.30GHz,27859
Intel Core i7-13700T,27781
Intel Core i5-12600K,27759
AMD Ryzen Threadripper 1950X,27619
Intel Core i5-13490F,27617
Intel Core i7-13700H,27615
AMD Ryzen Threadripper 2990X,27606
Intel Xeon Gold 6212U @ 2.40GHz,27470
AMD EPYC 7571,27445
Intel Core i5-12600KF,27441
AMD Ryzen 5 PRO 7645,27409
Intel Xeon Gold 5317 @ 3.00GHz,27387
Intel Xeon Gold 6150 @ 2.70GHz,27337
Intel Xeon Platinum 8124M @ 3.00GHz,27336
AMD Ryzen 5 7600,27310
Intel Xeon D-2775TE @ 2.00GHz,27299
AMD EPYC 72F3,27252
Intel Core i7-13800H,27226
Intel Core i5-14400,27209
Intel Xeon Gold 6252 @ 2.10GHz,27148
Intel Xeon Gold 6142 @ 2.60GHz,27114
Intel Xeon Gold 6208U @ 2.90GHz,27085
Intel Xeon Gold 6230 @ 2.10GHz,27069
AMD Ryzen 5 7500F,27004
Intel Xeon w3-2435,26960
Apple M3 Pro 12 Core,26922
AMD Ryzen 5 7645HX,26868
Intel Xeon W-3245M @ 3.20GHz,26814
AMD Ryzen 7 5700X3D,26751
AMD Ryzen 7 5700X,26734
Intel Xeon Platinum 8175M @ 2.50GHz,26659
Intel Core i7-12700H,26355
Intel Xeon D-2796TE @ 2.00GHz,26342
Intel Core i9-10920X @ 3.50GHz,26298
Intel Xeon Gold 6242 @ 2.80GHz,26288
Apple M2 Pro 12 Core 3480 MHz,26250
Apple M2 Max 12 Core 3680 MHz,26240
Intel Xeon Gold 6226R @ 2.90GHz,26206
AMD Ryzen 7 PRO 5845,26162
Intel Core i7-13620H,26086
Intel Xeon W-2265 @ 3.50GHz,26045
Intel Core i5-13600T,26039
Intel Core i9-7940X @ 3.10GHz,26016
AMD Ryzen 7 PRO 7840HS,25934
Intel Core i9-12900E,25921
Intel Xeon W-3323 @ 3.50GHz,25875
AMD Ryzen 7 5800,25820
Intel Xeon W-3235 @ 3.30GHz,25789
Intel Xeon E5-2698R v4 @ 2.20GHz,25605
AMD EPYC 7272,25568
Intel Core i5-14400F,25566
AMD Ryzen Z1 Extreme,25528
AMD Ryzen 7 7840S,25525
Intel Core i5-13600H,25480
Intel Xeon W-1390P @ 3.50GHz,25451
AMD Ryzen 5 8600G,25430
Intel Xeon Platinum 8167M @ 2.00GHz,25396
Intel Core i9-11900K @ 3.50GHz,25359
AMD Ryzen 7 7840U,25307
Intel Core i5-13400F,25302
Intel Core i9-11900KF @ 3.50GHz,25281
Intel Xeon E5-2699 v4 @ 2.20GHz,25250
Intel Core i9-9920X @ 3.50GHz,25216
AMD EPYC 7351P,25133
AMD Ryzen Threadripper 2920X,25117
Intel Xeon Gold 5415+,25012
Intel Core i5-13400,25011
Intel Core i7-12800H,25008
AMD EPYC 7501,24925
AMD Ryzen 9 6900HX,24881
Intel Core i5-13450HX,24846
Intel Xeon Gold 6434,24836
Intel Xeon Gold 6246 @ 3.30GHz,24829
Intel Xeon Gold 6143 @ 2.80GHz,24786
Intel Xeon Gold 5218R @ 2.10GHz,24742
Intel Xeon E5-2699A v4 @ 2.40GHz,24725
Intel Xeon E5-2696 v4 @ 2.20GHz,24710
Intel Xeon Gold 6152 @ 2.10GHz,24680
Intel Core i7-11700K @ 3.60GHz,24678
AMD Ryzen 7 5700G,24634
AMD Ryzen 7 PRO 7840U,24610
Intel Core i5-12600HE,24599
Intel Xeon W-1370P @ 3.60GHz,24540
AMD Ryzen 7 PRO 5750G,24453
AMD Ryzen 7 5700,24341
AMD Ryzen 7 7735H,24298
AMD Ryzen 7 7735HS,24281
Intel Core Ultra 5 135H,24276
Intel Core i5-12600HX,24214
Intel Xeon Gold 5220 @ 2.20GHz,24154
Intel Xeon W-2170B @ 2.50GHz,24132
Intel Xeon E5-2679 v4 @ 2.50GHz,24131
Intel Core i7-11700KF @ 3.60GHz,24027
Intel Core i7-13705H,23986
Intel Xeon W-1390 @ 2.80GHz,23902
Apple M3 Pro 11 Core,23836
AMD Ryzen 9 6900HS,23796
Intel Xeon Gold 6122 @ 1.80GHz,23781
Intel Xeon W-11865MRE @ 2.60GHz,23702
Intel Xeon E-2388G @ 3.20GHz,23700
AMD Ryzen 7 3800XT,23668
Intel Core i9-7920X @ 2.90GHz,23616
AMD Ryzen 7 6800H,23592
Intel Xeon E5-2698 v4 @ 2.20GHz,23581
AMD EPYC 7351,23566
Intel Xeon Silver 4410Y,23554
AMD Ryzen 9 5980HX,23549
AMD EPYC 7F32,23453
Intel Xeon W-1370 @ 2.90GHz,23449
Intel Core i5-13500T,23442
Intel Core i5-14500T,23439
Intel Xeon W-2175 @ 2.50GHz,23398
Intel Xeon Gold 6146 @ 3.20GHz,23296
Intel Core i7-12650H,23205
AMD Ryzen 7 3800X,23184
Intel Xeon Platinum 8176 @ 2.10GHz,23179
Intel Core Ultra 7 155H,23103
Intel Core i7-13700TE,23074
AMD Ryzen Threadripper 1920X,23043
Intel Xeon Gold 6140 @ 2.30GHz,23016
AMD Ryzen 7 PRO 6850H,23007
AMD Ryzen 5 7640HS,23005
Intel Core i9-10900K @ 3.70GHz,23003
Intel Core i9-11900 @ 2.50GHz,22979
AMD Ryzen 9 PRO 6950HS,22977
AMD Ryzen 7 PRO 3700,22935
AMD Ryzen 7 6800HS,22927
Intel Core i9-11980HK @ 2.60GHz,22894
Intel Core i9-11900KB @ 3.30GHz,22890
Intel Core i7-11700B @ 3.20GHz,22851
Intel Core i5-13500H,22824
Intel Xeon Silver 4310 @ 2.10GHz,22797
Intel Xeon W-11955M @ 2.60GHz,22745
Intel Xeon Gold 6138 @ 2.00GHz,22729
Intel Core i9-10900KF @ 3.70GHz,22723
Intel Xeon W-1290P @ 3.70GHz,22723
Intel Core i5-12600H,22721
Intel Xeon Platinum P-8124 @ 3.00GHz,22674
AMD Ryzen 9 5900HX,22639
Intel Core i9-11900F @ 2.50GHz,22593
AMD Ryzen 7 3700X,22590
AMD Ryzen 7 7736U,22560
AMD Ryzen 5 PRO 7640HS,22526
Intel Xeon E5-2696 v3 @ 2.30GHz,22504
Intel Core i9-10850K @ 3.60GHz,22491
Intel Core i9-10900X @ 3.70GHz,22478
AMD Ryzen 9 PRO 6950H,22416
Intel Xeon W-2255 @ 3.70GHz,22322
AMD Ryzen 7 6800HS Creator Edition,22313
Intel Xeon E5-2699C v4 @ 2.20GHz,22308
Intel Xeon E-2378G @ 2.80GHz,22302
AMD Ryzen 9 6900HS Creator Edition,22286
Montage Jintide C5318Y,22237
AMD Ryzen 7 5700GE,22196
AMD Ryzen 9 5900HS Creator Edition,22138
AMD Ryzen Threadripper 1920,22066
AMD Ryzen 5 5600X3D,22059
AMD Ryzen 7 PRO 5750GE,22037
Intel Core i7-12700T,22034
Apple M1 Max 10 Core 3200 MHz,22023
AMD Ryzen 7 PRO 6850HS,21998
Intel Xeon Gold 5218 @ 2.30GHz,21986
AMD EPYC 7281,21981
AMD Ryzen 5 5600X,21917
AMD Ryzen 5 PRO 5645,21904
Intel Xeon Gold 6130T @ 2.10GHz,21804
AMD Ryzen 5 8500G,21795
AMD Ryzen 9 5900HS,21794
Apple M1 Pro 10 Core 3200 MHz,21793
Intel Core i9-9900X @ 3.50GHz,21780
Intel Xeon Gold 6132 @ 2.60GHz,21668
AMD Ryzen 5 7640U,21619
Intel Xeon E7-8891 v3 @ 2.80GHz,21615
AMD EPYC 7551,21600
Intel Core i9-10910 @ 3.60GHz,21597
AMD Ryzen 7 7735U,21591
AMD Ryzen 5 5600,21583
Apple M2 Pro 10 Core 3480 MHz,21541
Intel Xeon Gold 6334 @ 3.60GHz,21521
Intel Xeon E5-2697A v4 @ 2.60GHz,21508
Intel Core i5-13500TE,21478
Intel Core i9-11950H @ 2.60GHz,21452
Intel Core i5-12500H,21442
Intel Xeon Gold 5218T @ 2.10GHz,21433
Intel Xeon Gold 6136 @ 3.00GHz,21413
AMD Ryzen 9 5980HS,21320
AMD Ryzen 5 5600GT,21318
Intel Core i5-12600,21307
Intel Core i9-7900X @ 3.30GHz,21217
Intel Xeon E5-2673 v4 @ 2.30GHz,21182
AMD Ryzen 7 5800HS Creator Edition,21166
AMD Ryzen 7 5800H,21110
AMD Ryzen 5 5500GT,21107
Intel Core i7-11700F @ 2.50GHz,21085
Intel Xeon W-2155 @ 3.30GHz,21019
Intel Core i7-7900X @ 3.30GHz,21008
Intel Xeon Silver 4310T @ 2.30GHz,20973
AMD Ryzen 9 5900H,20960
Intel Xeon Gold 6250 @ 3.90GHz,20915
AMD Ryzen 7 PRO 6860Z,20901
Intel Xeon E5-2686 v4 @ 2.30GHz,20873
AMD Ryzen 7 PRO 6850U,20863
Intel Xeon E5-2697R v4 @ 2.30GHz,20843
Intel Core i7-1370P,20840
AMD Ryzen 5 PRO 5650G,20819
AMD EPYC 7262,20795
Intel Xeon E5-2697 v4 @ 2.30GHz,20765
AMD Ryzen 7 Pro 7735U,20753
Intel Xeon Gold 5315Y @ 3.20GHz,20724
Intel Core i7-11800H @ 2.30GHz,20702
Intel Core i5-12500E,20699
Intel Core i7-11850H @ 2.50GHz,20681
Intel Core i9-11900H @ 2.50GHz,20669
Intel Xeon Gold 6138T @ 2.00GHz,20649
AMD Ryzen 7 6800U,20644
Intel Xeon D-2753NT @ 2.00GHz,20626
Intel Core i7-1280P,20624
Intel Xeon Silver 4216 @ 2.10GHz,20613
Intel Core i5-12490F,20570
Intel Xeon W-2150B @ 3.00GHz,20549
AMD Ryzen 7 PRO 4700G,20501
Intel Core i5-1350P,20484
AMD Ryzen 7 PRO 4750G,20480
AMD EPYC 7451,20471
Intel Xeon E5-2699 v3 @ 2.30GHz,20467
Intel Xeon Gold 6130 @ 2.10GHz,20411
Intel Core i5-13400T,20371
Intel Xeon E5-4667 v4 @ 2.20GHz,20319
Intel Core i5-1250P,20312
Intel Core Ultra 5 125H,20298
Intel Xeon D-1747NTE @ 2.50GHz,20279
AMD Ryzen 7 5800HS,20246
Intel Core Ultra 5 135U,20232
